frame,vehicle_id,x_position,y_position,spawn_x,spawn_y,relative_x,relative_y,speed_px_per_s
40,22,140.88542,202.08333,117.96875,592.3611,22.916672,-390.27777,0
40,22,140.88542,202.08333,117.96875,592.3611,22.916672,-390.27777,0
41,22,141.14583,192.36111,117.96875,592.3611,23.177078,-399.99997,0
41,22,141.14583,192.36111,117.96875,592.3611,23.177078,-399.99997,0
42,22,141.14583,182.63889,117.96875,592.3611,23.177078,-409.7222,0
42,22,141.14583,182.63889,117.96875,592.3611,23.177078,-409.7222,0
43,22,141.14583,175.0,117.96875,592.3611,23.177078,-417.36108,0
43,22,141.14583,175.0,117.96875,592.3611,23.177078,-417.36108,0
44,22,140.625,166.66667,117.96875,592.3611,22.65625,-425.6944,0
44,22,140.625,166.66667,117.96875,592.3611,22.65625,-425.6944,0
45,22,141.40625,157.63889,117.96875,592.3611,23.4375,-434.7222,0
45,22,141.40625,157.63889,117.96875,592.3611,23.4375,-434.7222,0
46,22,143.22917,150.0,117.96875,592.3611,25.260422,-442.36108,0
46,22,143.22917,150.0,117.96875,592.3611,25.260422,-442.36108,0
47,22,144.01042,141.66667,117.96875,592.3611,26.041672,-450.6944,0
47,22,144.01042,141.66667,117.96875,592.3611,26.041672,-450.6944,0
48,22,144.27083,135.41667,117.96875,592.3611,26.302078,-456.9444,0
48,22,144.27083,135.41667,117.96875,592.3611,26.302078,-456.9444,0
49,22,144.53125,128.47223,117.96875,592.3611,26.5625,-463.88885,0
49,22,144.53125,128.47223,117.96875,592.3611,26.5625,-463.88885,0
50,22,145.3125,118.75,117.96875,592.3611,27.34375,-473.61108,0
50,22,145.3125,118.75,117.96875,592.3611,27.34375,-473.61108,0
51,22,145.57292,115.27778,117.96875,592.3611,27.604172,-477.0833,0
51,22,145.57292,115.27778,117.96875,592.3611,27.604172,-477.0833,0
52,22,146.09375,108.333336,117.96875,592.3611,28.125,-484.02774,0
52,22,146.09375,108.333336,117.96875,592.3611,28.125,-484.02774,0
53,22,146.09375,100.69444,117.96875,592.3611,28.125,-491.66663,0
53,22,146.09375,100.69444,117.96875,592.3611,28.125,-491.66663,0
54,22,146.35417,95.138885,117.96875,592.3611,28.385422,-497.2222,0
54,22,146.35417,95.138885,117.96875,592.3611,28.385422,-497.2222,0
55,22,146.35417,89.583336,117.96875,592.3611,28.385422,-502.77774,0
55,22,146.35417,89.583336,117.96875,592.3611,28.385422,-502.77774,0
56,22,147.39583,84.02778,117.96875,592.3611,29.427078,-508.3333,0
56,22,147.39583,84.02778,117.96875,592.3611,29.427078,-508.3333,0
57,22,146.875,79.166664,117.96875,592.3611,28.90625,-513.1944,0
57,22,146.875,79.166664,117.96875,592.3611,28.90625,-513.1944,0
58,22,146.875,76.388885,117.96875,592.3611,28.90625,-515.97217,0
58,22,146.875,76.388885,117.96875,592.3611,28.90625,-515.97217,0
59,22,147.13542,68.75,117.96875,592.3611,29.166672,-523.6111,0
59,22,147.13542,68.75,117.96875,592.3611,29.166672,-523.6111,0
60,22,147.65625,63.194443,117.96875,592.3611,29.6875,-529.1666,0
60,22,147.65625,63.194443,117.96875,592.3611,29.6875,-529.1666,0
61,22,147.91667,59.02778,117.96875,592.3611,29.947922,-533.3333,0
61,22,147.91667,59.02778,117.96875,592.3611,29.947922,-533.3333,0
62,22,147.91667,54.86111,117.96875,592.3611,29.947922,-537.5,0
62,22,147.91667,54.86111,117.96875,592.3611,29.947922,-537.5,0
63,22,147.91667,50.694443,117.96875,592.3611,29.947922,-541.6666,0
63,22,147.91667,50.694443,117.96875,592.3611,29.947922,-541.6666,0
64,22,147.91667,45.13889,117.96875,592.3611,29.947922,-547.22217,0
64,22,147.91667,45.13889,117.96875,592.3611,29.947922,-547.22217,0
65,22,147.91667,42.36111,117.96875,592.3611,29.947922,-550.0,0
65,22,147.91667,42.36111,117.96875,592.3611,29.947922,-550.0,0
66,22,147.91667,39.583332,117.96875,592.3611,29.947922,-552.7778,0
66,22,147.91667,39.583332,117.96875,592.3611,29.947922,-552.7778,0
67,22,147.91667,36.805557,117.96875,592.3611,29.947922,-555.55554,0
67,22,147.91667,36.805557,117.96875,592.3611,29.947922,-555.55554,0
68,22,148.17708,30.555555,117.96875,592.3611,30.208328,-561.80554,0
68,22,148.17708,30.555555,117.96875,592.3611,30.208328,-561.80554,0
69,22,148.4375,26.38889,117.96875,592.3611,30.46875,-565.97217,0
69,22,148.4375,26.38889,117.96875,592.3611,30.46875,-565.97217,0
70,22,148.4375,22.222221,117.96875,592.3611,30.46875,-570.13885,0
70,22,148.4375,22.222221,117.96875,592.3611,30.46875,-570.13885,0
71,22,148.69792,18.75,117.96875,592.3611,30.729172,-573.6111,0
71,22,148.69792,18.75,117.96875,592.3611,30.729172,-573.6111,0
72,22,148.95833,14.583333,117.96875,592.3611,30.989578,-577.7778,0
72,22,148.95833,14.583333,117.96875,592.3611,30.989578,-577.7778,0
73,22,148.69792,11.805555,117.96875,592.3611,30.729172,-580.55554,0
73,22,148.69792,11.805555,117.96875,592.3611,30.729172,-580.55554,0
74,22,149.21875,9.027778,117.96875,592.3611,31.25,-583.3333,0
74,22,149.21875,9.027778,117.96875,592.3611,31.25,-583.3333,0
75,22,149.21875,5.5555553,117.96875,592.3611,31.25,-586.80554,0
75,22,149.21875,5.5555553,117.96875,592.3611,31.25,-586.80554,0
76,22,149.47917,2.7777777,117.96875,592.3611,31.510422,-589.5833,0
76,22,149.47917,2.7777777,117.96875,592.3611,31.510422,-589.5833,0
25,24,379.16666,326.3889,379.16666,326.3889,0.0,0.0,0
25,24,379.16666,326.3889,379.16666,326.3889,0.0,0.0,0
26,24,378.125,319.44446,379.16666,326.3889,-1.0416565,-6.9444275,0
26,24,378.125,319.44446,379.16666,326.3889,-1.0416565,-6.9444275,0
27,24,373.95834,311.80554,379.16666,326.3889,-5.208313,-14.5833435,0
27,24,373.95834,311.80554,379.16666,326.3889,-5.208313,-14.5833435,0
28,24,371.35416,302.08334,379.16666,326.3889,-7.8125,-24.305542,0
28,24,371.35416,302.08334,379.16666,326.3889,-7.8125,-24.305542,0
29,24,369.53125,296.52777,379.16666,326.3889,-9.6354065,-29.861115,0
29,24,369.53125,296.52777,379.16666,326.3889,-9.6354065,-29.861115,0
30,24,366.40625,286.1111,379.16666,326.3889,-12.7604065,-40.27777,0
30,24,366.40625,286.1111,379.16666,326.3889,-12.7604065,-40.27777,0
31,24,366.40625,279.8611,379.16666,326.3889,-12.7604065,-46.52777,0
31,24,366.40625,279.8611,379.16666,326.3889,-12.7604065,-46.52777,0
32,24,364.0625,275.69446,379.16666,326.3889,-15.1041565,-50.694427,0
32,24,364.0625,275.69446,379.16666,326.3889,-15.1041565,-50.694427,0
33,24,362.2396,271.52777,379.16666,326.3889,-16.927063,-54.861115,0
33,24,362.2396,271.52777,379.16666,326.3889,-16.927063,-54.861115,0
34,24,359.6354,265.97223,379.16666,326.3889,-19.53125,-60.416656,0
34,24,359.6354,265.97223,379.16666,326.3889,-19.53125,-60.416656,0
35,24,357.8125,255.55556,379.16666,326.3889,-21.354156,-70.83333,0
35,24,357.8125,255.55556,379.16666,326.3889,-21.354156,-70.83333,0
36,24,354.16666,251.38889,379.16666,326.3889,-25.0,-75.0,0
36,24,354.16666,251.38889,379.16666,326.3889,-25.0,-75.0,0
37,24,353.90625,245.13889,379.16666,326.3889,-25.260406,-81.25,0
37,24,353.90625,245.13889,379.16666,326.3889,-25.260406,-81.25,0
38,24,350.78125,235.41667,379.16666,326.3889,-28.385406,-90.97221,0
38,24,350.78125,235.41667,379.16666,326.3889,-28.385406,-90.97221,0
39,24,347.91666,230.55556,379.16666,326.3889,-31.25,-95.83333,0
39,24,347.91666,230.55556,379.16666,326.3889,-31.25,-95.83333,0
40,24,345.83334,229.16667,379.16666,326.3889,-33.333313,-97.22221,0
40,24,345.83334,229.16667,379.16666,326.3889,-33.333313,-97.22221,0
41,24,345.0521,224.30556,379.16666,326.3889,-34.114563,-102.08333,0
41,24,345.0521,224.30556,379.16666,326.3889,-34.114563,-102.08333,0
42,24,343.22916,215.97223,379.16666,326.3889,-35.9375,-110.41666,0
42,24,343.22916,215.97223,379.16666,326.3889,-35.9375,-110.41666,0
43,24,342.1875,210.41667,379.16666,326.3889,-36.979156,-115.97221,0
43,24,342.1875,210.41667,379.16666,326.3889,-36.979156,-115.97221,0
44,24,338.8021,205.55556,379.16666,326.3889,-40.364563,-120.83333,0
44,24,338.8021,205.55556,379.16666,326.3889,-40.364563,-120.83333,0
46,24,336.1979,195.13889,379.16666,326.3889,-42.96875,-131.25,0
46,24,336.1979,195.13889,379.16666,326.3889,-42.96875,-131.25,0
48,24,333.85416,185.41667,379.16666,326.3889,-45.3125,-140.97221,0
48,24,333.85416,185.41667,379.16666,326.3889,-45.3125,-140.97221,0
53,24,324.7396,163.19444,379.16666,326.3889,-54.427063,-163.19444,0
53,24,324.7396,163.19444,379.16666,326.3889,-54.427063,-163.19444,0
55,24,322.1354,152.77777,379.16666,326.3889,-57.03125,-173.61111,0
55,24,322.1354,152.77777,379.16666,326.3889,-57.03125,-173.61111,0
39,29,205.46875,2.7777777,205.46875,2.7777777,0.0,0.0,0
39,29,205.46875,2.7777777,205.46875,2.7777777,0.0,0.0,0
59,36,243.75,546.5278,243.75,546.5278,0.0,0.0,0
59,36,243.75,546.5278,243.75,546.5278,0.0,0.0,0
60,36,241.92708,520.1389,243.75,546.5278,-1.8229218,-26.388855,0
60,36,241.92708,520.1389,243.75,546.5278,-1.8229218,-26.388855,0
61,36,239.84375,491.66666,243.75,546.5278,-3.90625,-54.861115,0
61,36,239.84375,491.66666,243.75,546.5278,-3.90625,-54.861115,0
62,36,238.02083,474.30554,243.75,546.5278,-5.7291718,-72.22223,0
62,36,238.02083,474.30554,243.75,546.5278,-5.7291718,-72.22223,0
63,36,235.9375,452.08334,243.75,546.5278,-7.8125,-94.44443,0
63,36,235.9375,452.08334,243.75,546.5278,-7.8125,-94.44443,0
64,36,234.63542,432.6389,243.75,546.5278,-9.114578,-113.888885,0
64,36,234.63542,432.6389,243.75,546.5278,-9.114578,-113.888885,0
65,36,232.03125,412.5,243.75,546.5278,-11.71875,-134.02777,0
65,36,232.03125,412.5,243.75,546.5278,-11.71875,-134.02777,0
66,36,230.46875,393.05554,243.75,546.5278,-13.28125,-153.47223,0
66,36,230.46875,393.05554,243.75,546.5278,-13.28125,-153.47223,0
67,36,228.125,375.69446,243.75,546.5278,-15.625,-170.83331,0
67,36,228.125,375.69446,243.75,546.5278,-15.625,-170.83331,0
68,36,227.08333,356.94446,243.75,546.5278,-16.666672,-189.58331,0
68,36,227.08333,356.94446,243.75,546.5278,-16.666672,-189.58331,0
69,36,226.04167,340.97223,243.75,546.5278,-17.708328,-205.55554,0
69,36,226.04167,340.97223,243.75,546.5278,-17.708328,-205.55554,0
70,36,225.0,325.69446,243.75,546.5278,-18.75,-220.83331,0
70,36,225.0,325.69446,243.75,546.5278,-18.75,-220.83331,0
71,36,224.21875,309.72223,243.75,546.5278,-19.53125,-236.80554,0
71,36,224.21875,309.72223,243.75,546.5278,-19.53125,-236.80554,0
